pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity
130,1,472.0,248.0,45200.000398230084,45206.0,0.02515748568620002,0.0,1,6.0,0,45200.0,0,0.0,1,0.0,1,0.6
719,0,,,34.785054261852174,54.0,0.8548626217227346,32.0,0,9.0,0,0.0,0,1.0,0,2.0,0,0.0
159,1,994.0,317.0,25.15949125081825,35.0,0.8900420976100686,23.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
566,0,,,13990.033631124694,14029.0,0.038180490141211276,29.0,0,10.0,0,13990.0,0,0.0,1,0.0,1,0.4
134,1,1272.0,255.0,45194.001593131805,45206.0,0.30465254086838844,0.0,1,12.0,0,45194.0,0,0.0,1,0.0,1,0.6
13,1,668.0,25.0,10.770329614269007,14.0,0.867922737485174,0.0,1,10.0,0,0.0,0,0.0,1,0.0,1,0.6
638,0,,,25104.016232467664,25143.0,0.1271606828379569,27.0,0,9.0,0,25104.0,0,2.0,0,1.0,0,0.0
210,1,460.0,437.0,11.180339887498949,19.0,0.9906430542828408,6.0,0,5.0,0,0.0,0,0.0,1,0.0,1,0.4
234,1,388.0,499.0,37.53664875824692,45.0,0.9016590787204964,37.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
196,1,430.0,410.0,10.488088481701515,14.0,0.9896973879583669,3.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
564,0,,,42.74342054632502,55.0,0.9492334886750412,42.0,0,5.0,0,0.0,0,1.0,0,1.0,0,0.0
635,0,,,36.864617182333525,53.0,0.9506767930380275,35.0,0,9.0,0,0.0,0,0.0,1,2.0,0,0.2
617,0,,,47407.009218047075,47447.0,0.11730522544312871,27.0,0,12.0,0,47407.0,0,1.0,0,0.0,1,0.2
737,0,,,12.649110640673518,24.0,0.9843968872335396,5.0,0,7.0,0,0.0,0,1.0,0,2.0,0,0.0
69,1,959.0,129.0,7.681145747868608,11.0,0.9290341646006869,3.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4
591,0,,,17.97220075561143,25.0,0.6085806194501846,17.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
370,1,662.0,936.0,27.51363298439521,43.0,0.8966024835181957,24.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4
18,1,566.0,32.0,10.04987562112089,15.0,0.9380345549475287,9.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
565,0,,,15117.002976780814,15129.0,0.0893126246096676,3.0,0,9.0,0,15117.0,0,0.0,1,0.0,1,0.4
614,0,,,43.46262762420146,51.0,0.9118910950829271,43.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
657,0,,,84225.00401899664,84260.0,0.08335330660271256,24.0,0,10.0,0,84225.0,0,0.0,1,1.0,0,0.2
683,0,,,19.313207915827967,37.0,0.9255847571498883,10.0,0,12.0,0,0.0,0,2.0,0,2.0,0,0.0
552,0,,,15.394804318340652,23.0,0.9857899969293401,13.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
272,1,332.0,602.0,6.324555320336759,8.0,0.9943515534262918,2.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
600,0,,,30.95157508108432,52.0,0.9120324064713708,27.0,0,10.0,0,0.0,0,2.0,0,2.0,0,0.0
161,1,133.0,320.0,82191.00087600831,82203.0,0.19230303295843276,0.0,1,12.0,0,82191.0,0,0.0,1,0.0,1,0.6
549,0,,,12.083045973594572,14.0,0.9602500384808047,12.0,0,0.0,1,0.0,0,0.0,1,1.0,0,0.4
74,1,1005.0,139.0,18.466185312619388,27.0,0.9905486882904048,16.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
538,0,,,13.74772708486752,21.0,0.9964726105115206,12.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4
607,0,,,48.41487374764082,56.0,0.8956949270088573,48.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
502,0,,,15.937377450509228,26.0,0.9921963632748645,13.0,0,6.0,0,0.0,0,0.0,1,0.0,1,0.4
413,0,,,12.36931687685298,21.0,0.9675139463383187,2.0,0,9.0,0,0.0,0,0.0,1,2.0,0,0.2
404,0,,,18.138357147217054,27.0,0.8733141435302472,15.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
129,1,309.0,246.0,5.385164807134504,7.0,0.9946833607353538,0.0,1,0.0,1,0.0,0,0.0,1,2.0,0,0.6
709,0,,,14098.03862244674,14139.0,0.05188418277959661,32.0,0,8.0,0,14098.0,0,0.0,1,1.0,0,0.2
619,0,,,49221.000650129004,49229.0,0.016912520326168745,0.0,1,8.0,0,49221.0,0,0.0,1,0.0,1,0.6
695,0,,,14.177446878757825,23.0,0.7685189631370578,4.0,0,8.0,0,0.0,0,0.0,1,0.0,1,0.4
301,1,1314.0,689.0,12.24744871391589,18.0,0.9217648016985405,11.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
664,0,,,13.490737563232042,20.0,0.9744940042650425,9.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
768,0,,,18.81488772222678,32.0,0.8405390384017292,14.0,0,6.0,0,0.0,0,0.0,1,1.0,0,0.2
583,0,,,84116.00191402347,84144.0,0.06297512511154224,11.0,0,14.0,0,84116.0,0,2.0,0,1.0,0,0.0
526,0,,,31.272991542223778,48.0,0.9498866756928798,28.0,0,12.0,0,0.0,0,0.0,1,1.0,0,0.2
220,1,1169.0,462.0,31.76476034853718,43.0,0.8950053553527221,30.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4
595,0,,,25.88435821108957,44.0,0.9623576532774799,22.0,0,10.0,0,0.0,0,1.0,0,2.0,0,0.0
616,0,,,7.211102550927978,12.0,0.9868881046542165,1.0,0,5.0,0,0.0,0,0.0,1,1.0,0,0.2
697,0,,,13.638181696985855,20.0,0.973339614429169,8.0,0,0.0,1,0.0,0,0.0,1,1.0,0,0.4
252,1,1233.0,540.0,36.61966684720111,45.0,0.8923094479329501,36.0,0,3.0,0,0.0,0,0.0,1,0.0,1,0.4
421,0,,,12.922847983320086,23.0,0.8895485513573865,11.0,0,4.0,0,0.0,0,1.0,0,2.0,0,0.0
101,1,348.0,198.0,43291.000011549746,43292.0,0.2871599638097303,0.0,1,1.0,0,43291.0,0,0.0,1,0.0,1,0.6
675,0,,,49214.00567927793,49245.0,0.12087249122709731,23.0,0,5.0,0,49214.0,0,2.0,0,1.0,0,0.0
656,0,,,12.68857754044952,17.0,0.9641568026016122,12.0,0,1.0,0,0.0,0,0.0,1,0.0,1,0.4
730,0,,,45196.001393928644,45212.0,0.19523413494158637,5.0,0,10.0,0,45196.0,0,1.0,0,0.0,1,0.2
593,0,,,15193.020107931141,15226.0,0.165399647310559,23.0,0,9.0,0,15193.0,0,0.0,1,1.0,0,0.2
508,0,,,18.411952639521967,31.0,0.9827171828767759,13.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4
556,0,,,16.431676725154983,24.0,0.9922969522054333,13.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
132,1,353.0,252.0,47108.00085972658,47117.0,0.08161019175401962,0.0,1,9.0,0,47108.0,0,0.0,1,0.0,1,0.6
411,0,,,10.44030650891055,15.0,0.9226051674359548,2.0,0,10.0,0,0.0,0,0.0,1,1.0,0,0.2
577,0,,,49.16299421312742,63.0,0.8560189781511207,48.0,0,10.0,0,0.0,0,0.0,1,2.0,0,0.2
756,0,,,97005.00041750426,97014.0,0.020109570884661365,0.0,1,9.0,0,97005.0,0,0.0,1,0.0,1,0.6
63,1,729.0,116.0,22.15851980616034,33.0,0.5506887917539348,19.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.4
335,1,915.0,786.0,8.94427190999916,12.0,0.9895499028185102,0.0,1,8.0,0,0.0,0,0.0,1,0.0,1,0.6
384,1,44.0,997.0,14.89966442575134,22.0,0.8291913243519499,1.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
504,0,,,81298.00163595659,81322.0,0.3329209091473043,11.0,0,12.0,0,81298.0,0,0.0,1,1.0,0,0.2
84,1,894.0,165.0,13.601470508735444,21.0,0.9875618613870454,9.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
340,1,904.0,799.0,12.24744871391589,18.0,0.9472946822567111,1.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
414,0,,,27.349588662354687,46.0,0.9720682774033735,24.0,0,8.0,0,0.0,0,2.0,0,2.0,0,0.0
9,1,551.0,18.0,6.4031242374328485,9.0,0.994102161439637,1.0,0,0.0,1,0.0,0,0.0,1,2.0,0,0.4
450,0,,,1404.0933017431569,1426.0,0.2265076901973635,15.0,0,6.0,0,1404.0,0,1.0,0,0.0,1,0.2
221,1,147.0,463.0,85488.0005848774,85498.0,0.12039376541184588,0.0,1,10.0,0,85488.0,0,0.0,1,0.0,1,0.6
337,1,152.0,793.0,36.6742416417845,43.0,0.9498311040728273,36.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
587,0,,,26.664583251946766,37.0,0.9865667698482257,25.0,0,9.0,0,0.0,0,0.0,1,2.0,0,0.2
592,0,,,15.427248620541512,24.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,1,502.0,60.0,13.038404810405298,18.0,0.9945568014545303,11.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
640,0,,,15.524174696260024,29.0,0.8472847574923043,10.0,0,10.0,0,0.0,0,1.0,0,2.0,0,0.0
745,0,,,84124.00219319097,84153.0,0.25175143355554574,14.0,0,13.0,0,84124.0,0,2.0,0,0.0,1,0.2
752,0,,,56.4889369699944,75.0,0.834291607356262,55.0,0,8.0,0,0.0,0,1.0,0,1.0,0,0.0
106,1,1057.0,209.0,11.224972160321824,14.0,0.8911624822176736,1.0,0,11.0,0,0.0,0,0.0,1,0.0,1,0.4
746,0,,,49212.00119889456,49228.0,0.21769199735573863,6.0,0,9.0,0,49212.0,0,0.0,1,1.0,0,0.2
