anon_id,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year,k_size,uniqueness_score,k_anonymity,is_unique,qi_missing_rate,cluster_anomaly_score,l_diversity,combined_risk,risk_level
77,11,*,1,11,3,1,1,1,3,1,3,*,11,11,*,1,1,1,*,4.0,*,1.0,1.0,3511.0,*,1.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
78,11,Bin_1,1,11,3,1,1,1,4,1,3,Bin_5,11,1,Bin_1,1,1,1,Bin_1,6.0,Bin_3,8.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
79,11,Bin_1,1,11,3,1,1,1,5,1,3,Bin_5,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
80,11,Bin_1,1,11,3,1,1,1,6,1,4,Bin_5,11,9,Bin_4,1,1,1,Bin_3,9.0,Bin_4,9.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.6581610135721157e-11,,,low
81,11,Bin_1,1,11,4,1,1,1,1,1,1,Bin_5,11,3,Bin_3,1,1,1,Bin_1,9.0,Bin_4,7.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
82,11,Bin_1,1,11,4,1,1,1,2,2,2,Bin_1,11,5,Bin_3,1,1,1,Bin_1,9.0,Bin_4,,,,,,2.0,1.0,271.9852019,11,,,,0,0.16666666666666666,2.055079555980053e-11,,,low
83,11,Bin_1,1,11,4,1,1,1,3,1,3,Bin_1,11,12,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
84,11,Bin_1,1,11,4,1,1,1,4,1,3,Bin_1,11,2,Bin_1,1,1,1,Bin_1,1.0,,,,,,,,,271.9852019,11,,,,0,0.3333333333333333,0.22278597675880188,,,low
85,11,Bin_1,1,11,4,1,1,1,5,1,5,Bin_1,11,10,Bin_4,1,1,1,Bin_1,9.0,Bin_3,4.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,1.6827342745711738e-11,,,low
86,11,Bin_1,1,11,5,1,1,1,1,1,1,Bin_1,11,7,Bin_3,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,1321.0,Bin_2,5.0,,,271.9852019,11,5.0,0.2,5.0,0,0.0,0.5677250650389711,,0.34709002601558847,low
87,11,*,1,11,5,1,1,1,2,1,2,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,6.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
88,11,Bin_1,1,11,5,1,1,1,3,1,3,Bin_5,11,7,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
89,11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_5,11,11,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
90,11,Bin_1,1,11,5,1,1,1,5,1,4,Bin_1,11,11,Bin_5,1,1,1,Bin_1,9.0,Bin_3,9.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,4.5962270642046005e-11,,,low
91,11,Bin_1,1,11,5,1,1,1,6,1,4,Bin_5,11,2,Bin_4,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
92,11,Bin_1,1,11,6,1,1,1,1,1,1,Bin_1,11,9,Bin_2,1,1,1,Bin_1,9.0,Bin_4,1.0,1.0,3322.0,Bin_3,3.0,,,271.9852019,11,8.0,0.125,8.0,0,0.0,2.8625922011643265e-11,,0.07500000001145037,low
93,11,*,1,11,6,1,1,1,2,1,2,*,11,6,*,1,1,1,*,9.0,*,1.0,1.0,3341.0,*,3.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
94,11,Bin_1,1,11,6,1,1,1,3,1,3,Bin_1,11,12,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
95,11,Bin_1,1,11,6,1,1,1,4,1,3,Bin_1,11,8,Bin_1,1,1,1,Bin_1,,,,,,,,,,271.9852019,11,,,,0,0.3333333333333333,0.22278597675880188,,,low
96,11,*,1,11,6,1,1,1,5,1,6,*,11,1,*,1,1,1,*,9.0,*,1.0,1.0,9111.0,*,3.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
97,11,*,1,11,7,1,1,1,1,1,1,*,11,11,*,1,1,1,*,9.0,*,1.0,1.0,7531.0,*,3.0,,,271.9852019,11,198.0,0.005050505050505051,198.0,0,0.0,2.016330692930072e-11,,0.003030303038368353,low
98,11,Bin_1,1,11,7,1,1,1,2,2,2,Bin_1,11,10,Bin_4,1,1,1,Bin_1,9.0,Bin_3,,,,,,1.0,1.0,271.9852019,11,,,,0,0.16666666666666666,1.6827342745711738e-11,,,low
99,11,Bin_1,1,11,7,1,1,1,3,1,3,Bin_1,11,10,Bin_2,1,1,1,Bin_1,5.0,Bin_4,1.0,1.0,5414.0,Bin_1,3.0,,,271.9852019,11,6.0,0.16666666666666666,6.0,0,0.0,7.296091558556e-11,,0.10000000002918435,low
100,11,Bin_1,1,11,7,1,1,1,4,1,3,Bin_5,11,10,Bin_2,1,1,1,Bin_1,9.0,Bin_4,3.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,2.016330692930072e-11,,,low
101,11,Bin_1,1,11,8,1,1,1,1,1,1,Bin_1,11,7,Bin_5,1,1,1,Bin_1,9.0,Bin_1,5.0,2.0,,,,,,271.9852019,11,,,,0,0.16666666666666666,1.4059264698799625e-10,,,low
