aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
243,634,1,0.0,1.0,1,0.7,0.3,0,0.9997765680857978,0.0002234319142021,0,0.0,1.0,1,0.0,1.0,1,0.6600446863828404,0.9794944511606379
244,162,1,0.0,1.0,1,0.9333333333333332,0.0666666666666666,0,0.9992199134813132,0.0007800865186866,0,0.0,1.0,1,0.0,1.0,1,0.6134893506370707,0.963494781694538
245,481,1,0.75,4.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.65,0.9381077874016231
250,201,1,0.0196078431372549,0.9803921568627452,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6460784313725491,0.9434692528727314
251,429,1,0.1666666666666666,0.8333333333333334,0,0.5454545454545454,0.4545454545454545,0,0.9999812030075188,1.8796992481203007e-05,0,0.0,1.0,1,0.0,1.0,1,0.6575795169742539,0.8317804197625659
255,379,1,0.0,1.0,1,0.9090909090909092,0.0909090909090909,0,0.9999636376859024,3.636231409766917e-05,0,0.0,1.0,1,0.0,1.0,1,0.6181890906446377,0.9685122621036578
259,60,1,0.1794871794871795,0.8205128205128205,0,0.4,0.6,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6841025641025641,0.8774651538512904
261,74,1,0.6818181818181818,3.142857142857143,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6636363636363637,0.9549302593072104
262,398,1,0.5263157894736842,2.111111111111111,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6947368421052632,0.9545263118095823
265,783,1,0.0434782608695652,0.9565217391304348,0,0.6153846153846154,0.3846153846153846,0,,,0,0.0,1.0,1,0.0,1.0,1,0.668227424749164,0.9637550650770672
275,29,1,0.0,1.0,1,0.0,1.0,1,0.999969074077892,3.0925922107910854e-05,0,0.0,1.0,1,1.0,0.0,0,0.6000061851844216,0.9610615248826176
279,503,1,0.0175438596491228,0.9824561403508772,0,0.7142857142857143,0.2857142857142857,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6536340852130326,0.9506518634411965
280,478,1,0.0,1.0,1,0.8,0.2,0,0.9998366695098272,0.0001633304901729,0,0.0,1.0,1,0.0,1.0,1,0.6400326660980346,0.9733559377087686
281,533,1,0.0425531914893617,1.0444444444444445,0,0.375,0.625,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7164893617021277,0.8565294046982711
296,612,1,0.5,2.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.7,0.9545263118095823
298,628,1,0.0,1.0,1,0.8333333333333334,0.1666666666666666,0,0.9998780517548352,0.0001219482451647,0,0.0,1.0,1,0.0,1.0,1,0.6333577229823663,0.9698624482510577
299,83,1,0.8970588235294118,9.714285714285714,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6205882352941177,0.9192083601065405
301,21,1,0.0,1.0,1,0.6,0.4,0,0.999823411253118,0.0001765887468821,0,0.0,1.0,1,0.0,1.0,1,0.6800353177493764,0.9798749024765253
304,902,1,0.0517241379310344,0.9482758620689656,0,0.5714285714285714,0.4285714285714285,0,0.999626552142657,0.0003734478573429,0,0.0,1.0,1,0.0,1.0,1,0.6754441476995474,0.9728330987011461
306,576,1,0.0434782608695652,1.0454545454545454,0,0.375,0.625,0,0.9999789876237104,2.1012376289634595e-05,0,0.0,1.0,1,0.0,1.0,1,0.7163085503013449,0.8544719513074067
310,949,1,0.1707317073170731,0.8292682926829268,0,0.0,1.0,1,,,0,0.5,0.5,0,0.0,1.0,1,0.6658536585365853,0.9074297938143457
312,67,1,0.8596491228070176,7.125,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6280701754385964,0.9192083601065405
315,622,1,0.8095238095238095,5.25,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6380952380952382,0.9367072173661685
316,571,1,0.8666666666666667,7.5,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6266666666666667,0.9192083601065405
320,311,1,0.04,1.0416666666666667,0,0.6,0.4,0,0.9959839357429718,0.0040160642570281,0,0.0,1.0,1,0.0,1.0,1,0.6728032128514057,0.9610068206974832
332,916,1,0.8035714285714286,5.090909090909091,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6392857142857142,0.9367072173661685
333,225,1,0.0,1.0,1,0.9090909090909092,0.0909090909090909,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6181818181818182,0.9618674953511767
337,506,1,0.0689655172413793,0.9310344827586208,0,0.4285714285714285,0.5714285714285714,0,0.9997765226931048,0.0002234773068952,0,0.0,1.0,1,0.0,1.0,1,0.7005373062988175,0.9682457567082223
338,769,1,0.0185185185185185,0.9814814814814816,0,0.875,0.125,0,0.9999782611058576,2.1738894142454973e-05,0,0.0,1.0,1,0.0,1.0,1,0.6213006440751248,0.861170048077779
345,835,1,0.8260869565217391,5.75,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6347826086956522,0.8682740833565527
347,548,1,0.0,1.0,1,0.9,0.1,0,0.9999575488718612,4.245112813873029e-05,0,0.0,1.0,1,0.0,1.0,1,0.6200084902256278,0.9702644226947652
348,991,1,0.0833333333333333,0.9166666666666666,0,0.0,1.0,1,0.99213217938631,0.00786782061369,0,0.0,1.0,1,0.5,0.5,0,0.6849068974560713,0.9596067613053458
349,912,1,0.6363636363636364,2.75,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6727272727272727,0.9545263118095823
353,17,1,0.0483870967741935,1.0508474576271187,0,0.7142857142857143,0.2857142857142857,0,0.9998984194059568,0.0001015805940433,0,0.0,1.0,1,0.0,1.0,1,0.647485753906827,0.9640808057011753
355,796,1,0.6956521739130435,3.2857142857142856,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6608695652173913,0.9516800500883807
369,735,1,0.0714285714285714,0.9285714285714286,0,0.6363636363636364,0.3636363636363636,0,0.9998276258331418,0.0001723741668581,0,0.0,1.0,1,0.0,1.0,1,0.6584760332749301,0.9678653053923348
370,954,1,0.4210526315789473,1.7272727272727273,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.7157894736842105,0.9472704599909737
371,263,1,0.16,0.84,0,0.6923076923076923,0.3076923076923077,0,0.9994737188342872,0.0005262811657127,0,0.0,1.0,1,0.0,1.0,1,0.6296437177716041,0.8156753795218125
