pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index,attack_score
583,583,583,1,0,22.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,583,583,0.5133666829535933
1640,1640,1640,0,0,11.0,0.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1640,1640,0.5093997991658673
670,670,670,1,0,22.0,0.0,0,5.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,670,670,0.508236438989328
834,834,834,1,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,834,834,0.5041216831996697
109,109,109,1,0,2.0,0.0,0,3.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,109,109,0.5089738526144841
1164,1164,1164,0,0,13.0,0.0,0,7.0,0.0,0,49219.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1164,1164,0.5113981231165411
1959,1959,1959,0,0,1.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1959,1959,0.5136206062425969
1464,1464,1464,0,0,47.0,0.0,0,6.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1464,1464,0.513931952681972
1728,1728,1728,0,0,29.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1728,1728,0.5100763824005706
1242,1242,1242,0,0,21.0,0.0,0,16.0,0.0,0,96996.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1242,1242,0.5061798807356653
211,211,211,1,0,11.0,0.0,0,8.0,0.0,0,43293.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,211,211,0.510622535744842
1767,1767,1767,0,0,33.0,0.0,0,3.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1767,1767,0.5111949555572473
1120,1120,1120,0,0,10.0,0.0,0,7.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1120,1120,0.5158900675537129
