anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1368,0.5046289122362647,0.5046289122362647,1,low
1369,0.510878546161182,0.510878546161182,1,medium
1370,0.5277904872627198,0.5277904872627198,1,critical
1371,0.5133932302598011,0.5133932302598011,1,medium
1372,0.5123333309099043,0.5123333309099043,1,medium
1373,0.5146782786779993,0.5146782786779993,1,medium
1374,0.5166976837277056,0.5166976837277056,1,high
1375,0.5096014547839763,0.5096014547839763,1,low
1376,0.5048856362033114,0.5048856362033114,1,low
1377,0.5103429683892032,0.5103429683892032,1,low
1378,0.5164723856940364,0.5164723856940364,1,high
1379,0.5098935896039253,0.5098935896039253,1,low
1380,0.5148186011261809,0.5148186011261809,1,medium
1381,0.5091772257844153,0.5091772257844153,1,low
1382,0.519273572772403,0.519273572772403,1,high
1383,0.5080559313976085,0.5080559313976085,1,low
1384,0.5124376163745675,0.5124376163745675,1,medium
1385,0.5173490734835426,0.5173490734835426,1,high
1386,0.5121725577780256,0.5121725577780256,1,medium
1387,0.504702650054193,0.504702650054193,1,low
1388,0.5115371741983118,0.5115371741983118,1,medium
1389,0.5067507855678094,0.5067507855678094,1,low
1390,0.5184741335543716,0.5184741335543716,1,high
1391,0.5146087172765674,0.5146087172765674,1,medium
1392,0.5051078171143472,0.5051078171143472,1,low
1393,0.5171059200846893,0.5171059200846893,1,high
1394,0.5103409108205587,0.5103409108205587,1,low
1395,0.5036844173136698,0.5036844173136698,1,low
1396,0.5172532743982011,0.5172532743982011,1,high
1397,0.49991400518391643,0.49991400518391643,1,low
1398,0.5200636820924236,0.5200636820924236,1,high
1399,0.5126490044397024,0.5126490044397024,1,medium
1400,0.507500549790023,0.507500549790023,1,low
1401,0.5058647858992115,0.5058647858992115,1,low
1402,0.5195425030893659,0.5195425030893659,1,high
1403,0.5135247606248775,0.5135247606248775,1,medium
1404,0.511451188307526,0.511451188307526,1,medium
1405,0.5164543114879879,0.5164543114879879,1,high
1406,0.5042005756960722,0.5042005756960722,1,low
1407,0.510295542439651,0.510295542439651,1,low
1408,0.5354297482034331,0.5354297482034331,1,critical
1409,0.5096346606146137,0.5096346606146137,1,low
1410,0.5085781315142017,0.5085781315142017,1,low
1411,0.5073709346379197,0.5073709346379197,1,low
1412,0.511672378094366,0.511672378094366,1,medium
1413,0.4994611413169105,0.4994611413169105,1,low
1414,0.5121488166950163,0.5121488166950163,1,medium
1415,0.5064812661957795,0.5064812661957795,1,low
1416,0.5141493832314389,0.5141493832314389,1,medium
1417,0.5165445753330359,0.5165445753330359,1,high
1418,0.5107667372392052,0.5107667372392052,1,low
1419,0.4967624874204107,0.4967624874204107,1,low
1420,0.5164887564855801,0.5164887564855801,1,high
1421,0.5144107863361799,0.5144107863361799,1,medium
1422,0.5107585555408244,0.5107585555408244,1,low
1423,0.5124026762747973,0.5124026762747973,1,medium
1424,0.4983294640517753,0.4983294640517753,1,low
1425,0.5124376163745675,0.5124376163745675,1,medium
1426,0.5216949643506744,0.5216949643506744,1,critical
1427,0.5067476151122918,0.5067476151122918,1,low
1428,0.5116721345514424,0.5116721345514424,1,medium
1429,0.5073337022266924,0.5073337022266924,1,low
1430,0.5171435437541195,0.5171435437541195,1,high
1431,0.507484279552063,0.507484279552063,1,low
1432,0.5083531771209003,0.5083531771209003,1,low
1433,0.5041216831996697,0.5041216831996697,1,low
1434,0.5103428855589103,0.5103428855589103,1,low
1435,0.5119936920385829,0.5119936920385829,1,medium
1436,0.5059674195881114,0.5059674195881114,1,low
1437,0.5154482350345811,0.5154482350345811,1,medium
1438,0.5097909474177772,0.5097909474177772,1,low
1439,0.5038685050183038,0.5038685050183038,1,low
1440,0.5073787020868837,0.5073787020868837,1,low
1441,0.4990261420755601,0.4990261420755601,1,low
1442,0.507140245675355,0.507140245675355,1,low
1443,0.5094912445289044,0.5094912445289044,1,low
1444,0.5069168678992975,0.5069168678992975,1,low
1445,0.5098702754257728,0.5098702754257728,1,low
1446,0.50914655871004,0.50914655871004,1,low
1447,0.5166859045887884,0.5166859045887884,1,high
1448,0.5114387260264861,0.5114387260264861,1,medium
1449,0.508950224122242,0.508950224122242,1,low
1450,0.5066327662821606,0.5066327662821606,1,low
1451,0.5169672581937882,0.5169672581937882,1,high
1452,0.5133425248316018,0.5133425248316018,1,medium
1453,0.5041216831996697,0.5041216831996697,1,low
1454,0.5078664248013535,0.5078664248013535,1,low
1455,0.5135081899407802,0.5135081899407802,1,medium
1456,0.5026218891881095,0.5026218891881095,1,low
1457,0.5116129983080089,0.5116129983080089,1,medium
1458,0.5139213566098949,0.5139213566098949,1,medium
1459,0.5229208724069773,0.5229208724069773,1,critical
