pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
95,1,95.0,95.0,49407.00010120023,49411.0,0.9999999982760744,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,49407.0,0.0,0.0,0.0,0.0,95.0,95.0,0.8639407239395904
96,1,96.0,96.0,5.0990195135927845,8.0,0.9722857292609522,4.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.9480502473644274
97,1,97.0,97.0,1.4142135623730951,2.0,0.996765700247014,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.913626603565953
98,1,98.0,98.0,4.242640687119285,6.0,0.9673753912650253,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.9515001599588838
99,1,99.0,99.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,99.0,99.0,0.2977469722247344
100,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.06990351283753111
101,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.18493371789606194
102,0,,,3.0,3.0,0.9994838709333604,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.06254055577066095
103,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
104,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
105,0,,,4291.001864366875,4295.0,0.9999999988793355,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,4291.0,0.0,0.0,0.0,0.0,,,0.09468712413016851
106,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.06990351283753111
107,0,,,14099.00031917157,14102.0,0.9999999906542314,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14099.0,0.0,0.0,0.0,0.0,,,0.07329944715696073
108,0,,,10.04987562112089,11.0,0.9999999999293068,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0,,,0.29608292580480655
109,0,,,12776.000352222913,12779.0,0.999999998680458,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,12776.0,0.0,0.0,0.0,0.0,,,0.06945723468908047
110,0,,,35879.00001393573,35880.0,0.9999999942017792,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,35879.0,0.0,0.0,0.0,0.0,,,0.3900645099424507
111,0,,,3.0,3.0,0.9994838709333604,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.06254055577066095
112,0,,,2.0,2.0,0.9941348467724342,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.1607069984851284
113,0,,,2.0,2.0,0.9986054207456784,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
114,0,,,43128.0,43128.0,0.999999986400405,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,43128.0,0.0,0.0,0.0,0.0,,,0.4481316714616839
115,0,,,7.280109889280518,9.0,0.220192753025272,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.57284092916605
