pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match
116,0,,,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0,0.75,0.0
117,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
118,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
119,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
120,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
121,0,,,1.0,1.0,0.9960238411119947,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
122,0,,,2.0,2.0,0.9997500937109547,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
123,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
124,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
125,0,,,2.0,2.0,0.9992990141526302,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
126,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
127,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
128,0,,,3.0,3.0,0.9987677136415694,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
129,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
130,0,,,1.0,1.0,0.9960238411119947,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
131,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
132,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
133,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
134,0,,,3.0,3.0,0.9987677136415694,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
