aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
1084,58,0,0.6779661016949152,3.1052631578947367,0,0.6666666666666666,0.3333333333333333,0,,,0,0.0,1.0,1,0.0,1.0,1,0.5310734463276836
1116,890,0,0.0,1.0,1,0.8,0.2,0,0.9998984194059567,0.00010158059404331397,0,0.0,1.0,1,1.0,0.0,0,0.44002031611880865
1134,464,0,0.5357142857142857,2.1538461538461537,0,0.7272727272727273,0.2727272727272727,0,,,0,0.5,0.5,0,0.5,0.5,0,0.3474025974025974
11,338,0,0.11666666666666667,1.1320754716981132,0,0.9375,0.0625,0,0.9999643366619115,3.566333808844508e-05,0,0.5,0.5,0,0.5,0.5,0,0.38917379933428436
616,163,0,0.4583333333333333,1.8461538461538463,0,0.7692307692307693,0.23076923076923078,0,,,0,1.0,0.0,0,0.5,0.5,0,0.25448717948717947
681,271,1,0.0,1.0,1,0.7692307692307693,0.23076923076923078,0,0.9995986719690613,0.00040132803093874273,0,0.0,1.0,1,0.0,1.0,1,0.6462341117600339
985,179,0,0.1951219512195122,1.2424242424242424,0,0.6363636363636364,0.36363636363636365,0,,,0,0.0,1.0,1,0.5,0.5,0,0.5337028824833703
1083,400,1,0.11428571428571428,0.8857142857142857,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.6771428571428572
661,822,1,0.8214285714285714,5.6,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6357142857142858
586,822,0,0.696969696969697,3.3,0,0.8,0.2,0,,,0,1.0,0.0,0,0.0,1.0,1,0.3006060606060606
188,862,1,0.8947368421052632,9.5,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6210526315789473
446,367,0,0.0196078431372549,0.9803921568627451,0,0.9,0.1,0,0.9997872491312673,0.000212750868732714,0,0.0,1.0,1,0.5,0.5,0,0.5161209815462955
