pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,attack_score
87,1,87.0,87.0,49234.00051793476,49243.0,-0.1540463445609723,7.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,49234.0,0.0,0.0,0.0,0.0,0.9690456588301913
88,1,88.0,88.0,10.099504938362076,12.0,0.9666913176095692,10.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539743312820156
89,1,89.0,89.0,2.23606797749979,3.0,0.9766244823564244,1.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9622671925579297
90,1,90.0,90.0,2.0,2.0,0.9601486977992116,0.0,1.0,2.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7633041813516405
91,1,91.0,91.0,11.090536506409418,13.0,-0.2390457218668786,11.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180000178026116
92,1,92.0,92.0,2.23606797749979,3.0,0.991741279639108,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9626409425751142
93,1,93.0,93.0,5.0,5.0,0.9146591207600472,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.697203649753236
94,1,94.0,94.0,6.164414002968976,8.0,0.8411910241920598,6.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642371960975025
95,1,95.0,95.0,49407.00010120023,49411.0,0.9999999982760744,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,49407.0,0.0,0.0,0.0,0.0,0.9652451605583602
96,1,96.0,96.0,5.0990195135927845,8.0,0.9722857292609522,4.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9648672358176187
97,1,97.0,97.0,1.4142135623730951,2.0,0.996765700247014,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.965564784386781
98,1,98.0,98.0,4.242640687119285,6.0,0.9673753912650253,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688618074512773
99,1,99.0,99.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8741187998716665
100,1,100.0,100.0,46550.000386680986,46556.0,0.9999477166502307,6.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,46550.0,0.0,0.0,0.0,0.0,0.896205847541612
101,1,101.0,101.0,83920.00015490943,83926.0,0.9999699037565806,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,83920.0,0.0,0.0,0.0,0.0,0.966331936880525
102,1,102.0,102.0,56303.00023977408,56310.0,-0.1888009779018502,5.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,56303.0,0.0,0.0,0.0,0.0,0.959882687150791
103,1,103.0,103.0,3.1622776601683795,4.0,0.9963420345065996,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9634604080435082
104,1,104.0,104.0,1.4142135623730951,2.0,0.9666666666666668,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9685470238845757
105,1,105.0,105.0,12.041594578792296,13.0,0.5830305913356048,12.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.907772776374263
106,1,106.0,106.0,56303.00047066763,56314.0,-0.0761165637235168,6.0,0.0,4.0,0,1.0,0,0.0,0.0,0.0,56303.0,0.0,0.0,0.0,0.0,0.9126033093825558
