pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
1931,1931,1931,0,0,5.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1931,1931
916,916,916,1,0,50.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,916,916
993,993,993,1,0,13.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,993,993
429,429,429,1,0,27.0,0.0,0,8.0,0.0,0,53198.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,429,429
1370,1370,1370,0,0,71.0,0.0,0,3.0,0.0,1,1.0,0.0,0,3.0,0.0,0,0.0,1.0,0.2,1370,1370
239,239,239,1,0,19.0,0.0,0,6.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,239,239
879,879,879,1,0,35.0,0.0,0,11.0,0.0,0,10789.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,879,879
620,620,620,1,0,7.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,620,620
256,256,256,1,0,7.0,0.0,0,8.0,0.0,0,40997.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,256,256
611,611,611,1,0,15.0,0.0,0,6.0,0.0,0,14100.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,611,611
544,544,544,1,0,33.0,0.0,0,8.0,0.0,0,49214.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,544,544
771,771,771,1,0,34.0,0.0,1,1.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,771,771
1419,1419,1419,0,0,39.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1419,1419
1041,1041,1041,0,0,1.0,0.0,0,7.0,0.0,0,96997.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1041,1041
1789,1789,1789,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,1789,1789
759,759,759,1,0,15.0,0.0,0,8.0,0.0,0,47105.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,759,759
382,382,382,1,0,14.0,0.0,0,6.0,0.0,0,11039.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,382,382
1103,1103,1103,0,0,5.0,0.0,0,7.0,0.0,0,40994.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1103,1103
973,973,973,1,0,15.0,0.0,0,6.0,0.0,0,86201.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,973,973
352,352,352,1,0,44.0,0.0,0,8.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,352,352
1605,1605,1605,0,0,17.0,0.0,0,12.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1605,1605
1825,1825,1825,0,0,1.0,0.0,0,5.0,0.0,0,62012.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1825,1825
1036,1036,1036,0,0,40.0,0.0,0,5.0,0.0,0,99996.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1036,1036
1107,1107,1107,0,0,21.0,0.0,0,9.0,0.0,0,10707.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1107,1107
494,494,494,1,0,24.0,0.0,0,6.0,0.0,0,49213.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,494,494
393,393,393,1,0,2.0,0.0,0,10.0,0.0,0,51099.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,393,393
1546,1546,1546,0,0,23.0,0.0,0,9.0,0.0,0,69198.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1546,1546
464,464,464,1,0,33.0,0.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,464,464
886,886,886,1,0,6.0,0.0,0,11.0,0.0,0,17087.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,886,886
1193,1193,1193,0,0,3.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1193,1193
366,366,366,1,0,5.0,0.0,0,6.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,366,366
1893,1893,1893,0,0,28.0,0.0,0,8.0,0.0,0,25105.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1893,1893
1873,1873,1873,0,0,5.0,0.0,0,6.0,0.0,0,18113.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1873,1873
744,744,744,1,0,8.0,0.0,0,10.0,0.0,0,64189.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,744,744
529,529,529,1,0,0.0,1.0,0,8.0,0.0,0,47613.0,0.0,0,1.0,0.0,0,1.0,0.0,0.2,529,529
802,802,802,1,0,10.0,0.0,0,7.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,802,802
1223,1223,1223,0,0,12.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1223,1223
1978,1978,1978,0,0,23.0,0.0,0,4.0,0.0,0,40993.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1978,1978
