district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1-2,3,PSU_RECODED_OTHER,Grade 10,*,1,Walking,3,School too far away,_missing_,6,5,1,1,15, , , 
11,1,9,PSU_RECODED_863,Grade 3,*,1,Walking,3,School too far away,_missing_,11,10,6,5,20, , , 
11,1,9,PSU_RECODED_863,Grade 3,*,1,Walking,4,School too far away,_missing_,6,5,6,5,20, , , 
11,1,9,PSU_RECODED_863,Grade 7,*,1,Walking,3,School too far away,_missing_,2,1,10,4,30, , , 
11,1,9,PSU_RECODED_863,Grade 7,*,1,Walking,4,School too far away,_missing_,13,12,16,6,50, , , 
11,1-2,10,PSU_RECODED_816,Grade 6,*,1,Walking,4,School too far away,_missing_,11,10,10,4,25, , , 
11,1-2,10,PSU_RECODED_816,Grade 6,*,1,Walking,5,School too far away,_missing_,3,2,1,4,5, , , 
11,1-2,10,PSU_RECODED_271,Grade 7,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,6,2019
11,1-2,10,PSU_RECODED_271,Grade 7,*,1,Walking,4,School too far away,_missing_,10,9,11,3,35, , , 
11,1-2,10,PSU_RECODED_271,Grade 7,*,1,Walking,5,School too far away,_missing_,4,3,11,3,35, , , 
11,1-2,10,PSU_RECODED_271,Grade 7,*,1,Walking,6,School too far away,_missing_,9,8,10,3,30, , , 
11,1,10,PSU_RECODED_456,Grade 4,*,1,Walking,4,School too far away,_missing_,13,12,2,6,20, , , 
11,1,3,PSU_RECODED_462,Grade 4,*,1,Walking,5,School too far away,_missing_,13,12,0,1,10, , , 
11,1,3,PSU_RECODED_462,Grade 9,*,1,Walking,3,School too far away,_missing_,8,7,7,5,60, , , 
11,1,3,PSU_RECODED_462,Grade 9,*,1,Walking,4,School too far away,_missing_,4,3,0,1,10, , , 
11,1,3,PSU_RECODED_462,Grade 9,*,1,Walking,5,School too far away,_missing_,2,1,0,1,10, , , 
11,1-2,10,PSU_RECODED_727,Grade 9,*,1,Walking,3,School too far away,_missing_,10,9,2,1,15, , , 
11,1-2,10,PSU_RECODED_727,Grade 9,*,1,Walking,4,School too far away,_missing_,3,2,2,1,15, , , 
11,1,6,PSU_RECODED_252,Grade 2,*,1,Walking,3,School too far away,_missing_,11,10,0,1,3, , , 
11,1,6,PSU_RECODED_252,Grade 2,*,1,Walking,4,School too far away,_missing_,9,8,3,2,15, , , 
11,1,6,PSU_RECODED_252,Grade 2,*,1,Walking,5,School too far away,_missing_,2,1,0,1,3, , , 
11,1,6,PSU_RECODED_252,Grade 9,*,1,Walking,5,School too far away,_missing_,1,19,7,5,45, , , 
