pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity,attack_score
106,0,,,17.944358444926362,28.0,0.979553141421482,13.0,0,12.0,0,3.0,0,0,1,1,1,1,0.5,0.19106310208302055
107,0,,,3.0,5.0,0.9875414397573884,2.0,0,2.0,0,1.0,0,1,1,1,1,0,0.5,0.3640250308555466
108,0,,,26.851443164195103,43.0,0.9574355776451664,18.0,0,19.0,0,6.0,0,0,1,1,1,1,0.5,0.12156045729440194
109,0,,,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5,0.2701279481582327
110,0,,,20.518284528683196,29.0,0.4087700137316487,15.0,0,14.0,0,0.0,1,0,1,1,1,1,0.625,0.23909098877317334
111,0,,,14.866068747318506,21.0,0.9867228533562428,11.0,0,10.0,0,0.0,1,0,1,1,1,0,0.5,0.18776421648514466
112,0,,,2.449489742783178,4.0,0.9895530451750576,2.0,0,1.0,0,1.0,0,0,1,1,1,0,0.375,0.21053810696323935
113,0,,,36.78314831549904,53.0,0.927365844127374,26.0,0,26.0,0,1.0,0,1,0,1,1,1,0.5,0.049164374086153595
114,0,,,9.9498743710662,15.0,0.99310220401898,7.0,0,7.0,0,1.0,0,0,1,0,1,1,0.375,0.05791613810597016
115,0,,,15.556349186104043,22.0,0.9831493711075876,11.0,0,11.0,0,0.0,1,0,1,1,1,0,0.5,0.18323398011162498
116,0,,,7.874007874011811,12.0,0.997144827904021,6.0,0,5.0,0,1.0,0,0,1,1,1,0,0.375,0.15918874931028965
117,0,,,98.20386957752734,106.0,0.2526082621640158,2.0,0,98.0,0,6.0,0,0,1,0,0,0,0.125,0.00026345197633983374
118,0,,,4.69041575982343,8.0,0.9985005611860543,3.0,0,3.0,0,2.0,0,0,0,1,1,1,0.375,0.15421924989944513
119,0,,,4.123105625617661,5.0,0.9989165893910794,1.0,0,0.0,1,4.0,0,0,1,0,1,1,0.5,0.11960087449902995
120,0,,,83.43860018001261,102.0,0.9588654486345096,20.0,0,81.0,0,1.0,0,1,1,1,1,1,0.625,0.04150221829053626
121,0,,,19.79898987322333,28.0,0.9726228778947068,14.0,0,14.0,0,0.0,1,0,0,1,1,1,0.5,0.11475634711553694
122,0,,,36.78314831549904,53.0,0.927365844127374,26.0,0,26.0,0,1.0,0,1,0,1,1,1,0.5,0.049164374086153595
123,0,,,9.273618495495704,14.0,0.9941893842960952,6.0,0,7.0,0,1.0,0,0,0,1,1,1,0.375,0.12000326620457903
124,0,,,3.0,5.0,0.9875414397573884,2.0,0,2.0,0,1.0,0,1,1,1,1,0,0.5,0.3640250308555466
125,0,,,30.298514815086232,48.0,0.9392629939174926,21.0,0,21.0,0,6.0,0,0,1,1,1,1,0.5,0.09691738481349055
126,0,,,5.0990195135927845,8.0,0.9987215053808164,4.0,0,3.0,0,1.0,0,1,0,1,0,1,0.375,0.09755140200964289
127,0,,,1.4142135623730951,2.0,0.9999135799520368,1.0,0,1.0,0,0.0,1,0,1,1,0,0,0.375,0.14495038198923696
128,0,,,4.123105625617661,5.0,0.9989165893910794,1.0,0,0.0,1,4.0,0,0,1,0,1,1,0.5,0.11960087449902995
129,0,,,40.36087214122113,59.0,0.916342807491128,29.0,0,28.0,0,2.0,0,0,1,1,1,1,0.5,0.052176147002464694
130,0,,,31.25699921617557,47.0,0.9531033649645267,22.0,0,22.0,0,3.0,0,0,1,1,1,1,0.5,0.08996606124850065
131,0,,,12.083045973594572,18.0,0.9910023202511884,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375,0.10128889643351853
132,0,,,85.7962703152066,105.0,0.8929513859515076,17.0,0,84.0,0,4.0,0,1,1,1,1,1,0.625,0.037151405420679864
133,0,,,33.421549934136806,49.0,0.9484901053352496,18.0,0,28.0,0,3.0,0,0,1,1,1,1,0.5,0.09426960252990617
134,0,,,17.944358444926362,28.0,0.979553141421482,13.0,0,12.0,0,3.0,0,0,1,1,1,1,0.5,0.19106310208302055
135,0,,,19.1049731745428,27.0,0.3447176592270999,13.0,0,14.0,0,0.0,1,1,1,1,1,0,0.625,0.21753292421291937
136,0,,,4.0,4.0,0.9847836031767524,0.0,1,0.0,1,4.0,0,0,1,1,0,1,0.625,0.4379172329317964
137,0,,,54.46099521676041,78.0,0.8249288832944606,39.0,0,38.0,0,1.0,0,0,1,1,1,1,0.5,0.022624938266691912
138,0,,,2.449489742783178,4.0,0.9919976730359152,1.0,0,1.0,0,2.0,0,0,1,1,1,1,0.5,0.4093412671791186
139,0,,,4.0,4.0,0.9847836031767524,0.0,1,0.0,1,4.0,0,0,1,1,0,1,0.625,0.4379172329317964
140,0,,,31.25699921617557,47.0,0.9531033649645267,22.0,0,22.0,0,3.0,0,0,1,1,1,1,0.5,0.08996606124850065
141,0,,,7.810249675906654,11.0,0.8561964001774857,6.0,0,5.0,0,0.0,1,0,1,1,1,1,0.625,0.4631956372400244
142,0,,,15.0,23.0,0.9854192080836606,11.0,0,10.0,0,2.0,0,1,1,0,1,1,0.5,0.08888370198768765
143,0,,,3.0,3.0,0.9994048377490354,0.0,1,0.0,1,3.0,0,0,1,0,1,1,0.625,0.27949493382635054
144,0,,,10.392304845413264,18.0,0.9924422446551682,6.0,0,6.0,0,6.0,0,1,1,1,1,0,0.5,0.25714001112237844
145,0,,,98.066304100848,103.0,0.2308490609119428,2.0,0,98.0,0,3.0,0,1,0,1,1,1,0.5,0.01798886678911788
146,0,,,3.0,5.0,0.9994121992167508,2.0,0,2.0,0,1.0,0,0,1,0,1,1,0.375,0.09007454491236871
147,0,,,12.083045973594572,18.0,0.9910023202511884,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375,0.10128889643351853
148,0,,,1.0,1.0,0.9982776033569812,0.0,1,0.0,1,1.0,0,1,1,1,0,0,0.625,0.35858118001195116
149,0,,,76.89603370785778,99.0,0.6360659722080415,27.0,0,72.0,0,0.0,1,1,0,1,1,1,0.625,0.017690282064267936
150,0,,,12.083045973594572,18.0,0.9910023202511884,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375,0.10128889643351853
151,0,,,51.39066063011839,79.0,0.8400929036393389,36.0,0,36.0,0,7.0,0,1,1,1,1,1,0.625,0.05009822111793744
152,0,,,54.46099521676041,78.0,0.8249288832944606,39.0,0,38.0,0,1.0,0,0,1,1,1,1,0.5,0.022624938266691912
153,0,,,10.63014581273465,15.0,0.9943932943270188,8.0,0,7.0,0,0.0,1,0,1,1,1,0,0.5,0.2297005978172791
154,0,,,92.35258523723093,101.0,0.4902898560412062,8.0,0,92.0,0,1.0,0,0,1,1,1,1,0.5,0.019053508223290393
155,0,,,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5,0.2701279481582327
